ID,Cod_Esp_Gen,STRAP,STRAP_syn,nom,auteur,statut,detail,nom_FR,nom_EN,Ref,STRAP_prev,IML Collection,Maritimes,NAFO,NAFO _sp. pr._,COSTACA,NMFS,Plancton,TSN,AphiaID,ScientificName,Authority,Match type,Taxon status,AphiaID_accepted,ScientificName_accepted,Authority_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,isMarine,isBrackish,isFresh,Actions,CaRMS,OBIS,Brunel,IML,null_COBI,pas_en_GSL,GSLMF
1,,,,Neoechinorhynchus (Neoechinorhynchus) rutili,,,,,,,,,,,,,,,64257,100625,Neoechinorhynchus (Neoechinorhynchus) rutili,"(Müller, 1780) Hamann in Stiles & Hassall, 1905",exact_subgenus,accepted,100625,Neoechinorhynchus (Neoechinorhynchus) rutili,"(Müller, 1780) Hamann in Stiles & Hassall, 1905",Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Neoechinorhynchidae,Neoechinorhynchus,Neoechinorhynchus,rutili, ,,1,1,,,,1,,,,
2,,,,Echinorhynchus gadi,,,,,,,,,,,,,,,64279,100599,Echinorhynchus gadi,"Zoega in Müller, 1776",exact,accepted,100599,Echinorhynchus gadi,"Zoega in Müller, 1776",Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus,,gadi,,1,,,,,,1,,,,1
3,,,,Echinorhynchus lateralis,,,,,,,,,,,,,,,197030,159694,Echinorhynchus lateralis,"Leidy, 1851",exact,accepted,159694,Echinorhynchus lateralis,"Leidy, 1851",Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus,,lateralis,,1,,,,,,1,,,,1
4,,,,Echinorhynchus laurentianus,,,,,,,,,,,,,,,197032,159696,Echinorhynchus laurentianus,"Ronald, 1957",exact,accepted,159696,Echinorhynchus laurentianus,"Ronald, 1957",Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus,,laurentianus,,1,,,,,,1,,,,1
5,,,,Echinorhynchus salmonis,,,,,,,,,,,,,,,197049,159698,Echinorhynchus salmonis,"Müller, 1784",exact,accepted,159698,Echinorhynchus salmonis,"Mueller, 1784",Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus,,salmonis,,1,,,,,,1,,,,1
6,,,,Leptorhynchoides thecatus,,,,,,,,,,,,,,,64349,159701,Leptorhynchoides thecatus,"(Linton, 1891) Kostylev, 1924",exact,accepted,159701,Leptorhynchoides thecatus,"(Linton, 1891) Kostylev, 1924",Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Rhadinorhynchidae,Leptorhynchoides,,thecatus,,1,1,1,,,,1,,,,1
7,,,,Bolbosoma capitatum,,,,,,,,,,,,,,,197852,100605,Bolbosoma capitatum,"(von Linstow, 1880) Porta, 1908",exact,accepted,100605,Bolbosoma capitatum,"(von Linstow, 1880)",Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Bolbosoma,,capitatum,,1,,,,,,1,,,,1
8,,2531,,Bolbosma turbinella,"(Diesing, 1851)",orthographe,,acanthocéphalien,acanthocéphalien,WoRMS,,031C_00001,,,,,,,,147792,Bolbosoma turbinella,"(Diesing, 1851) Porta, 1908",near,accepted,147792,Bolbosoma turbinella,"(Diesing, 1851)",Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Bolbosoma,,turbinella,,1,,,,,,,,1,,1
9,,2531,,Bolbosoma turbinella,"(Diesing, 1851) Porta, 1908",,,,,,,,,,,,,,,147792,Bolbosoma turbinella,"(Diesing, 1851) Porta, 1908",exact,accepted,147792,Bolbosoma turbinella,"(Diesing, 1851)",Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Bolbosoma,,turbinella,,1,,,,,,1,,,,1
10,,,,Corynosoma cameroni,,,,,,,,,,,,,,,197871,159686,Corynosoma cameroni,"Van Cleave, 1953",exact,accepted,159686,Corynosoma cameroni,"Van Cleave, 1953",Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma,,cameroni,,1,,,,,,1,,,,1
11,,,,Corynosoma magdaleni,,,,,,,,,,,,,,,197891,100612,Corynosoma magdaleni,"Montreuil, 1958",exact,accepted,100612,Corynosoma magdaleni,"Montreuil, 1958",Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma,,magdaleni,,1,,,,,,1,,,,1
12,,,,Corynosoma semerme,,,,,,,,,,,,,,,64297,100613,Corynosoma semerme,"(Forssell, 1904) Lühe, 1911",exact,accepted,100613,Corynosoma semerme,"(Forssell, 1904)",Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma,,semerme,,1,,,,,,1,,,,1
13,,2532,,Corynosoma strumosum,"(Rudolphi, 1802)",,,acanthocéphalien,acanthocéphalien,WoRMS,,031C_10000,,,,,,,64300,100614,Corynosoma strumosum,"(Rudolphi, 1802) Lühe, 1904",exact,accepted,100614,Corynosoma strumosum,"(Rudolphi, 1802) Lühe, 1904",Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma,,strumosum,,1,,,,,,1,1,,,1
14,,,,Corynosoma wegeneri,,,,,,,,,,,,,,,64305,159690,Corynosoma wegeneri,"Heinze, 1934",exact,accepted,159690,Corynosoma wegeneri,"Heinze, 1934",Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma,,wegeneri,,1,,,,,,1,,,,1
15,,,,Polymorphus botulus,,,,,,,,,,,,,,,198008,100635,Polymorphus botulus,"(Van Cleave, 1916) Van Cleave, 1937",exact,unaccepted,100635,Polymorphus botulus,"(Van Cleave, 1916)",Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Polymorphus,,botulus,,1,,,,,,1,,,,1
16,,2530,,Acanthocephala,,,,acanthocéphalien,acanthocéphalien,,,031C_00000,3400,,,,,,64238,18814,Acanthocephala,,exact,accepted,18814,Acanthocephala,,Animalia,Acanthocephala,,,,,,,,1,,,,,,,,1,,
17,,,,Erpobdella punctata,"(Leidy, 1870)",,,sangsue (Erpobdella punctata),leech (Erpobdella punctata),BBL,,054_01101,,,,,,,69445,160007,Erpobdella punctata,"(Leidy, 1870)",exact,accepted,160007,Erpobdella punctata,"(Leidy, 1870)",Animalia,Annelida,Clitellata,Arhynchobdellida,Erpobdellidae,Erpobdella,,punctata,,,,1,,1,,1,1,,,1
18,,,,Erpobdella,,,,sangsue (Erpobdella sp.),leech (Erpobdella sp.),,,,,,,,,,69444,160006,Erpobdella,"Lamarck, 1818",exact,accepted,160006,Erpobdella,"Lamarck, 1818",Animalia,Annelida,Clitellata,Arhynchobdellida,Erpobdellidae,Erpobdella,,,,,,,,,,,,1,,
19,,,,Macrobdella decora,"(Say, 1824)",,,sangsue (Macrobdella decora),leech (Macrobdella decora),BBL,,054_01901,,,,,,,69419,160023,Macrobdella decora,"(Say, 1824)",exact,accepted,160023,Macrobdella decora,"(Say, 1824)",Animalia,Annelida,Clitellata,Arhynchobdellida,Hirudinidae,Macrobdella,,decora,,,,1,,1,,1,1,,,1
20,,,,Macrobdella,,,,sangsue (Macrobdella sp.),leech (Macrobdella sp.),,,,,,,,,,69418,160022,Macrobdella,,exact,accepted,160022,Macrobdella,,Animalia,Annelida,Clitellata,Arhynchobdellida,Hirudinidae,Macrobdella,,,,,,,,,,,,1,,
21,,,,Marionina,,,,oligochète (Marionina sp.),oligochaete (Marionina sp.),,,,,,,,,,68515,137353,Marionina,"Michaelsen in Pfeffer, 1890",exact,accepted,137353,Marionina,"Michaelsen in Pfeffer, 1890",Animalia,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Marionina,,,,1,,,,,,,,1,,
22,,,,Limnodrilus cervix,"Brinkhurst, 1963",,,oligochète (Limnodrilus cervix),oligochaete (Limnodrilus cervix),BBL,,,,,,,,,68652,157591,Limnodrilus cervix,"Brinkhurst, 1963",exact,accepted,157591,Limnodrilus cervix,"Brinkhurst, 1963",Animalia,Annelida,Clitellata,Haplotaxida,Naididae,Limnodrilus,,cervix,,1,,,,,,1,1,,,1
23,,,,Limnodrilus hoffmeisteri,"Claparède, 1862",,,oligochète (Limnodrilus hoffmeisteri),oligochaete (Limnodrilus hoffmeisteri),BBL,,,,,,,,,68639,137556,Limnodrilus hoffmeisteri,"Claparède, 1862",exact,accepted,137556,Limnodrilus hoffmeisteri,"Claparède, 1862",Animalia,Annelida,Clitellata,Haplotaxida,Naididae,Limnodrilus,,hoffmeisteri,,1,,,,,,1,1,,,1
24,,,,Limnodrilus udekemianus,"Claparède, 1862",,,oligochète (Limnodrilus udekemianus),oligochaete (Limnodrilus udekemianus),BBL,,,,,,,,,68644,157593,Limnodrilus udekemianus,"Claparède, 1862",exact,accepted,157593,Limnodrilus udekemianus,"Claparède, 1862",Animalia,Annelida,Clitellata,Haplotaxida,Naididae,Limnodrilus,,udekemianus,,1,,,,,,1,1,,,1
25,,,,Limnodrilus,,,,oligochète (Limnodrilus sp.),oligochaete (Limnodrilus sp.),,,,,,,,,,68638,137388,Limnodrilus,"Claparède, 1862",exact,accepted,137388,Limnodrilus,"Claparède, 1862",Animalia,Annelida,Clitellata,Haplotaxida,Naididae,Limnodrilus,,,,1,,,,,,,,1,,
26,,,,Nais elinguis,,,,,,,,,,,,,,,68952,137481,Nais elinguis,"Müller, 1774",exact,accepted,137481,Nais elinguis,"Müller, 1774",Animalia,Annelida,Clitellata,Haplotaxida,Naididae,Nais,,elinguis,,1,,,,,,1,,,,1
27,,,,Potamothrix moldaviensis,"Vejdovski & Mrazek, 1902",,,oligochète (Potamothrix moldaviensis),oligochaete (Potamothrix moldaviensis),BBL,,,,,,,,,68789,137563,Potamothrix moldaviensis,"Vejdovský & Mrázek, 1903",exact,accepted,137563,Potamothrix moldaviensis,"Vejdovský & Mrázek, 1903",Animalia,Annelida,Clitellata,Haplotaxida,Naididae,Potamothrix,,moldaviensis,,1,,,,,,1,1,,,1
28,,,,Potamothrix,,,,oligochète (Potamothrix sp.),oligochaete (Potamothrix sp.),,,,,,,,,,68786,137390,Potamothrix,"Vejdovský & Mrázek, 1903",exact,accepted,137390,Potamothrix,"Vejdovský & Mrázek, 1903",Animalia,Annelida,Clitellata,Haplotaxida,Naididae,Potamothrix,,,,1,,,,,,,,1,,
29,,,,Tubifex tubifex,"(O.F. Müller, 1774)",,,oligochète (Tubifex tubifex),oligochaete (Tubifex tubifex),BBL,,,,,,,,,68623,137569,Tubifex tubifex,"(Müller, 1774)",exact,accepted,137569,Tubifex tubifex,"(Müller, 1774)",Animalia,Annelida,Clitellata,Haplotaxida,Naididae,Tubifex,,tubifex,,1,,,,,,1,1,,,1
30,,,,Tubifex,"Lamarck, 1816",,,oligochète (Tubifex sp.),oligochaete (Tubifex sp.),WoRMS,,,,,,,,,,137392,Tubifex,"Lamarck, 1816",exact,accepted,137392,Tubifex,"Lamarck, 1816",Animalia,Annelida,Clitellata,Haplotaxida,Naididae,Tubifex,,,,,,,,,,,,1,,
31,,,,Tubificoides bruneli,"Erseus, 1989",,,oligochète (Tubificoides bruneli),oligochaete (Tubificoides bruneli),BBL,,,,,,,,,,476125,Tubificoides bruneli,"Erséus, 1989",exact,accepted,476125,Tubificoides bruneli,"Erséus, 1989",Animalia,Annelida,Clitellata,Haplotaxida,Naididae,Tubificoides,,bruneli,,1,,,,,1,1,1,,,1
32,,,,Tubificoides,,,,oligochète (Tubificoides sp.),oligochaete (Tubificoides sp.),,,,,,,,,,68687,137393,Tubificoides,"Lastočkin, 1937",exact,accepted,137393,Tubificoides,"Lastočkin, 1937",Animalia,Annelida,Clitellata,Haplotaxida,Naididae,Tubificoides,,,,1,,,,,,,,1,,
33,,,,Calliobdella vivida,"(Verrill, 1872)",non-valide,,sangsue (Calliobdella vivida),leech (Calliobdella vivida),BBL,,054_00601,,,,,,,69351,157588,Calliobdella vivida,"(Verrill, 1872)",exact,unaccepted,370625,Cystobranchus vividus,"Verrill, 1872",Animalia,Annelida,Clitellata,Rhynchobdellida,Piscicolidae,Calliobdella,,vivida,,,,,,,,,,1,,
34,,,,Calliobdella,,,,sangsue (Calliobdella sp.),leech (Calliobdella sp.),,,,,,,,,,69350,116929,Calliobdella,"(van Beneden & Hesse, 1863)",exact,accepted,116929,Calliobdella,"(van Beneden & Hesse, 1863)",Animalia,Annelida,Clitellata,Rhynchobdellida,Piscicolidae,Calliobdella,,,,1,,,,,,,,1,,
35,,,,Cystobranchus vividus,,non-valide,,,,,,,,,,,,,,370625,Cystobranchus vividus,,exact,accepted,370625,Cystobranchus vividus,"Verrill, 1872",Animalia,Annelida,Clitellata,Rhynchobdellida,Piscicolidae,Cystobranchus,,vividus,,,,1,,1,,1,,,,1
36,,,,Johanssonia arctica,"(Johansson, 1898)",,,sangsue (Johanssonia arctica),leech (Johanssonia arctica),BBL,,054_01801,,,,,,,568930,116966,Johanssonia arctica,"(Johansson, 1898)",exact,accepted,116966,Johanssonia arctica,"(Johansson, 1898)",Animalia,Annelida,Clitellata,Rhynchobdellida,Piscicolidae,Johanssonia,,arctica,,1,,,,,,1,1,,,1
37,,,,Johanssonia,,,,sangsue (Johanssonia sp.),leech (Johanssonia sp.),,,,,,,,,,568869,116934,Johanssonia,"(Selensky, 1914)",exact,accepted,116934,Johanssonia,"(Selensky, 1914)",Animalia,Annelida,Clitellata,Rhynchobdellida,Piscicolidae,Johanssonia,,,,1,,,,,,,,1,,
38,,,,Malmiana,,non-valide,,sangsue (Malmiana sp.),leech (Malmiana sp.),,,054_02000,,,,,,,69352,116935,Malmiana,"(Strand, 1942)",exact,unaccepted,154889,Heptacyclus,"(Vasileyev, 1939)",Animalia,Annelida,Clitellata,Rhynchobdellida,Piscicolidae,Malmiana,,,,1,,,,,,,,1,,
